algorithm,compression_ratio,budget,runtime_seconds,memory_mb,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,trajectory_id,trajectory_size,turn_preservation,stop_preservation,original_turns,preserved_turns,preservation_ratio,original_stops,preserved_stops
vw,2.0,718,7.224420547485352,0.048496246337890625,14.820413286060054,0.24085998615571955,14.820413286060054,0.24085998615571955,86.85511250271034,389.34579630779615,0.6842166335661838,13458557.415515179,1436,718,3,1436,,,,,,,
vw,5.003484320557491,287,8.809314012527466,0.04990386962890625,36.631676385093186,1.252936101290632,36.631676385093186,1.252936101290632,78.0372246293464,459.06796219567264,0.7073863419075473,13062047.42837306,1436,287,3,1436,,,,,,,
vw,10.041958041958042,143,9.11203145980835,0.048496246337890625,74.09343334379047,2.0328798508324346,77.72600038285779,2.0328798508324346,86.18304453529754,421.24517299443784,0.6881968628018962,12000444.967751326,1436,143,3,1436,,,,,,,
sw,2.0,718,58.492135763168335,0.08650398254394531,20.868069275964253,0.18678001399766256,25.15082734288924,0.18680792360791115,86.5914565613206,421.2103711313664,0.718072300431426,13180370.450960435,1436,718,3,1436,,,,,,,
sw,5.020979020979021,287,59.003780126571655,0.037947654724121094,60.1507663626599,0.8689330369984276,60.1507663626599,0.8689401371192343,84.72007585384598,394.7671358519848,0.6689180493420629,13406390.89038799,1436,286,3,1436,,,,,,,
sw,10.33093525179856,143,59.51359009742737,0.029700279235839844,121.666285805462,1.9928976773852072,121.666285805462,1.9928976773852072,96.34973960991613,451.76490662281657,0.7016127114658187,13671398.822307827,1436,139,3,1436,,,,,,,
rw,2.1242603550295858,718,0.5568604469299316,0.12187957763671875,10.97786661592773,0.677926119535588,13.72711823893679,0.677926119535588,93.35069879890266,459.0404368512698,0.7069526477557548,13888058.49896368,1436,676,3,1436,,,,,,,
rw,5.020979020979021,287,0.49617648124694824,0.03736114501953125,25.84790135424918,1.9098015842197853,26.245321397202968,1.9098015842197853,82.86514232446423,472.61350758291036,0.6956937604425129,13125948.332479417,1436,286,3,1436,,,,,,,
rw,10.041958041958042,143,0.43314433097839355,0.02989959716796875,34.67782050375253,4.145598311912649,40.80374411375056,4.145598311912649,80.63827622501847,453.21160147433795,0.6865184537800625,12315182.310142152,1436,143,3,1436,,,,,,,
proposed,2.0,718,0.7984497547149658,0.22267627716064453,358.8931670567805,3.1298425482456413,360.2167570603054,3.1298425482456413,12.096707986198147,4.897899977707215,0.19026894909305767,36232.80511337816,1436,718,3,1436,0.8858131487889274,1.0,578.0,512.0,1.0,27.0,27.0
proposed,5.003484320557491,287,1.0453195571899414,0.2227621078491211,981.8871858715469,61.96390607392529,1098.150814744257,61.96390607392529,49.65388003833494,196.82326461297157,0.5166873153528613,3158991.207705333,1436,287,3,1436,0.444636678200692,0.37037037037037035,578.0,257.0,0.37037037037037035,27.0,10.0
proposed,10.041958041958042,143,0.894963264465332,0.22289085388183594,988.4826728241228,89.06929602714563,991.1609390173962,89.06929602714563,62.105632124131866,317.89687937158266,0.7824160946269094,9990351.703565018,1436,143,3,1436,0.2681660899653979,0.18518518518518517,578.0,155.0,0.18518518518518517,27.0,5.0
original,1.0,75,0.0008018016815185547,0.006035804748535156,0.0,0.0,0.0,0.0,69.80575906088873,94.41328437467868,3.2060220569283415,165779.914649865,151,151,4,151,,,,,,,
original,1.0,30,0.0006015300750732422,0.005673408508300781,0.0,0.0,0.0,0.0,69.80575906088873,94.41328437467868,3.2060220569283415,165779.914649865,151,151,4,151,,,,,,,
original,1.0,15,0.0005781650543212891,0.005673408508300781,0.0,0.0,0.0,0.0,69.80575906088873,94.41328437467868,3.2060220569283415,165779.914649865,151,151,4,151,,,,,,,
dp,18.875,75,0.7315969467163086,0.02410888671875,306.15918955175067,4.728206273792268,306.15918955175067,4.728215210480127,71.32855301401953,429.1609087176205,3.2236528926701182,485707.8820115635,151,8,4,151,,,,,,,
dp,5.033333333333333,30,0.22257494926452637,0.017995834350585938,103.43944056609408,1.2821422519309136,115.50540773794685,1.2821422519309136,70.03502277780628,67.81545930433002,1.793792623791083,123993.13936491912,151,30,4,151,,,,,,,
dp,16.77777777777778,15,0.1371140480041504,0.015237808227539062,221.11661750048708,3.7231869812778733,221.11661750048708,3.7231869812778733,67.3983856804284,185.72245983649682,3.099558569463303,185674.19811101415,151,9,4,151,,,,,,,
squish,2.013333333333333,75,0.09852933883666992,0.01207733154296875,36.38320419328744,0.8920604723190753,36.38320419328744,0.8920604723190753,68.36437747560173,108.66123123664354,3.5315082299296847,122430.90758569588,151,75,4,151,,,,,,,
squish,5.033333333333333,30,0.12480497360229492,0.01207733154296875,52.58873724983718,2.9036356184551813,52.58873724983718,2.9036356184551813,61.37271548872003,62.18062938017635,2.0954166530591594,90159.81628992001,151,30,4,151,,,,,,,
squish,10.066666666666666,15,0.12870335578918457,0.01277923583984375,67.05102804403816,10.977837373658822,67.05102804403816,10.977837373658822,62.657353103248134,96.44859491774429,1.92546776580503,98847.22213934973,151,15,4,151,,,,,,,
vw,2.013333333333333,75,0.07232427597045898,0.006565093994140625,36.38320419328744,0.8920604723190753,36.38320419328744,0.8920604723190753,68.36437747560173,108.66123123664354,3.5315082299296847,122430.90758569588,151,75,4,151,,,,,,,
